#,Repo Name,instance_id,Solve Rates / Top 26 Models ,# Correct / Top 26 Models,Last Run Time,Current Attempt #,Column 8,Comments,Project Guide Analysis,Project Python Version,,,,
56,Astropy,astropy__astropy-14365,3.85%,1,2025-08-13,5,Pass,"Att #1: Level2_v2, Failed.
Att #2: Level3_v2, Failed.
Att #3: Level3_v2, Failed. 1 FAIL_TO_PASS failure.
Att #4: Level3_v2, Failed. 1 FAIL_TO_PASS failure.
Att #5: PASS!",Att. 3: Issues unclear in Project Guide: https://github.com/blitzy-showcase/astropy/blob/blitzy-37fe2800-0e5a-47fa-b9c1-e9b9a894980e/blitzy/documentation/Project%20Guide.md#astropy-qdp-case-insensitive-parsing---project-validation-guide,,,,Pass,Passed Solvable Instances with problem statement only. Do not redo these.
34,Astropy,astropy__astropy-7606,0.00%,0,2025-08-13,4,Code Generating,"Att #1: Level3_v2: JSON Decode Error, empty report.
Att #2: Level3_v2, Failed. 1 PASS_TO_PASS failure.
Att #3: Level3_v2, Failed. All tests failed.
Att #4:",,,,,Fail,Failed solvable instances with only problem statement.
58,Astropy,astropy__astropy-8707,0.00%,0,2025-08-13,4,Fail,"Att #1: Level3_v2, Failed.
Att #2: Level3_v2, Failed. 1 FAIL_TO_PASS failure.
Att #3: Level3_v2, 8/12 failures.
Att #4: Failed the fail to pass test and 7 pass to pass tests",,,,,,
100,Matplotlib,matplotlib__matplotlib-24870,0.00%,0,2025-08-13,5,Fail,"Att #1: Level 1, Passed
Att #2: Level3_v2, Passed.
Att #3: Level4, Failed. 1 FAIL_TO_PASS
Att #4: Level4, Failed. 1 FAIL_TO_PASS
Att #5: Failed 1 fail to pass test",,,,,,
104,Matplotlib,matplotlib__matplotlib-26466,0.00%,0,2025-08-13,5,Fail,"Att #1: Level 1, Passed
Att #2: Level3_v2, Passed.
Att #3: Level4, Failed. 1 FAIL_TO_PASS
Att #4: Level4, Failed. 1 FAIL_TO_PASS
Att #5: Level 4, Failed 1 FAIL_TO_PASS",,,,,,
17,Seaborn,mwaskom__seaborn-3187,15.38%,4,2025-08-13,9,Ready for Patch,"Att 1. No compiler, Failed due to: Detailed Error Analysis
Att 2. Stuck on ""Fixing Bugs"".
Att 3. Using Add Feature, Failed.
Att 4. Latest Platform (7/14), Failed due to: Detailed Analysis #4
Att 5. Latest Platform (7/16), Failed.
Att #6: (7/29), Failed. (2 FAIL_TO_PASS failures)
Att #7: Failed.  (2 FAIL_TO_PASS failures)
Att #8: Failed. 2 FAIL_TO_PASS failures.
Att #9:",,Python 3.7+,,,,
12,XArray,pydata__xarray-2905,65.38%,17,2025-08-13,10,Fail,"Att 1. No compiler, Failed due to: Detailed Error Analysis
Att 2. With compiler, Failed due to: Detailed Error Analysis #2
Att 3. With unit testing support, Failed due to: Detailed Error Analysis #3 
Att 4. Latest platform (7/14), Failed due to: Detailed Error Analysis #4
Att 5. Latest Platform (7/16), Failed.
Att 6. Sid: Retriggered on 7/24
Att #7: (7/29), Failed. (1 PASS_TO_PASS failure)
Att #8: Failed. (1 PASS_TO_PASS failure)
Att #9: Failed. 1 PASS_TO_PASS failure.
Att #10: Failed. 1 PASS_TO_PASS failure","Some test failures may be due to NumPy 2.x compatibility issues rather than actual bugs (see Project Guide: ""Issue: Test Failures / Solution: NumPy 2.x compatibility issues may cause unrelated test failures""); xarray currently requires numpy>=1.26 (core) and caps numpy<2.3 under [pyproject.toml: project.optional-dependencies.accel] due to numba incompatibility.

This will likely solve the rest of the xarray failed instances as well, because the test_as_sparse is always failing.",Python 3.7+,,,,
355,XArray,pydata__xarray-3993,34.62%,9,2025-08-13,4,Ready for Patch,"Att #1, Failed.
Att #2: Failed.
Att #3: Failed. 2 FAIL_TO_PASS failure.
Att #4: Failed. 2 FAIL_TO_PASS, 4 PASS_TO_PASS",,,,,,
357,XArray,pydata__xarray-4094,50.00%,13,2025-08-13,3,Fail,"Att #1, Failed.
Att #2: Failed. 4 PASS_TO_PASS tests failed.
Att #3: Failed. 3 PASS_TO_PASS",,,,,,
360,XArray,pydata__xarray-4687,19.23%,5,2025-08-13,3,Fail,"Att #1, Failed. (1 FAIL_TO_PASS failure)
Att #2: Failed. 1 FAIL_TO_PASS failure.
Att #3: Failed. 1 FAIL_TO_PASS failure",,,,,,
